Date,Country,City,Specie,count,min,max,median,variance
05-02-2019,IN,Kolkata,temperature,120,11.2,27.1,19.1,192.47
10-02-2019,IN,Kolkata,temperature,120,15.1,25.1,19.1,82.48
16-02-2019,IN,Kolkata,temperature,120,18.5,28.1,20.7,74.62
10-03-2019,IN,Kolkata,temperature,120,20.1,31.1,25.2,70.39
19-03-2019,IN,Kolkata,temperature,120,22,32.1,25.9,96.18
31-12-2018,IN,Kolkata,temperature,120,11.1,24.1,15.7,146.77
19-01-2019,IN,Kolkata,temperature,120,11.4,25.4,16.8,173.01
03-02-2019,IN,Kolkata,temperature,120,13.1,28.2,20.1,230.83
01-03-2019,IN,Kolkata,temperature,120,16.1,25.5,19.1,87.36
29-03-2019,IN,Kolkata,temperature,120,23.9,34.1,27.7,77.06
04-02-2019,IN,Kolkata,temperature,120,13.3,29.1,19.4,221.44
09-02-2019,IN,Kolkata,temperature,120,18.1,26.1,20.9,54.53
20-02-2019,IN,Kolkata,temperature,120,21.1,33.1,23.9,128.81
11-02-2019,IN,Kolkata,temperature,120,13.1,25.5,18.7,151.34
15-02-2019,IN,Kolkata,temperature,120,15.9,31.1,22.5,199.21
19-02-2019,IN,Kolkata,temperature,120,15.1,32.1,23.2,221.04
08-03-2019,IN,Kolkata,temperature,109,17.9,30.1,23.5,137.74
13-03-2019,IN,Kolkata,temperature,120,23.7,35.1,28.1,105.74
08-01-2019,IN,Kolkata,temperature,120,12.4,25.1,17.3,151.52
21-01-2019,IN,Kolkata,temperature,120,12.1,27.1,17.6,210.71
02-02-2019,IN,Kolkata,temperature,120,12.1,28.1,19.4,236.14
21-03-2019,IN,Kolkata,temperature,120,23.1,35.1,27.2,129.34
28-01-2019,IN,Kolkata,temperature,120,17.1,22.6,19.7,18.91
01-02-2019,IN,Kolkata,temperature,120,12.3,28.1,18.2,225.61
18-02-2019,IN,Kolkata,temperature,120,14.1,28.1,20.7,120.01
07-03-2019,IN,Kolkata,temperature,120,20.1,28.1,22.3,52.19
20-03-2019,IN,Kolkata,temperature,120,22.8,33.1,26.5,86.45
26-03-2019,IN,Kolkata,temperature,119,23,35.1,26.1,116.1
28-03-2019,IN,Kolkata,temperature,120,23.3,33.1,28.1,89.7
11-01-2019,IN,Kolkata,temperature,120,11.1,24.2,16.2,163.74
16-01-2019,IN,Kolkata,temperature,120,10.6,24.1,15.9,157.7
18-01-2019,IN,Kolkata,temperature,120,11.6,26.1,17.1,193.01
23-02-2019,IN,Kolkata,temperature,120,21,34.1,26.1,132.91
02-03-2019,IN,Kolkata,temperature,120,14.1,27.1,19.6,153.12
27-03-2019,IN,Kolkata,temperature,120,21,33.1,27,116.98
05-01-2019,IN,Kolkata,temperature,120,10.1,25.1,16.1,189.43
20-01-2019,IN,Kolkata,temperature,120,12,25.6,17.5,182.75
17-02-2019,IN,Kolkata,temperature,120,18.1,29.1,21.4,98.74
17-03-2019,IN,Kolkata,temperature,120,18.7,34.1,25.8,196.21
09-01-2019,IN,Kolkata,temperature,120,12.7,24.8,17.1,126.44
30-01-2019,IN,Kolkata,temperature,120,10.5,23.6,16.4,136.66
08-02-2019,IN,Kolkata,temperature,120,14.1,30.3,23.1,169.62
05-03-2019,IN,Kolkata,temperature,120,20.1,28.1,24,49.4
12-03-2019,IN,Kolkata,temperature,120,22.7,35.1,27.4,117.2
15-03-2019,IN,Kolkata,temperature,117,22.1,33.2,25,137.98
24-01-2019,IN,Kolkata,temperature,120,14.1,29.1,20.8,225.34
27-01-2019,IN,Kolkata,temperature,120,17.8,26.1,20.8,65.47
29-01-2019,IN,Kolkata,temperature,120,13.3,23.6,17.9,63.37
06-02-2019,IN,Kolkata,temperature,120,12.1,29.1,20.2,224.42
14-03-2019,IN,Kolkata,temperature,120,22.1,35.1,28.6,119.78
01-01-2019,IN,Kolkata,temperature,116,10.1,24.1,16,162.17
15-01-2019,IN,Kolkata,temperature,120,13.6,24.1,17.1,93.46
23-01-2019,IN,Kolkata,temperature,120,13.1,29.1,19.4,243.68
22-03-2019,IN,Kolkata,temperature,113,21.4,35.1,25.7,138.46
23-03-2019,IN,Kolkata,temperature,96,22.2,35.1,26.8,149.98
26-01-2019,IN,Kolkata,temperature,120,15.7,29.1,20.9,138.47
06-01-2019,IN,Kolkata,temperature,120,11.7,26.1,17.1,203.15
14-01-2019,IN,Kolkata,temperature,120,13,26.1,18.4,161.3
22-01-2019,IN,Kolkata,temperature,120,12.1,28.1,18.7,239.24
02-01-2019,IN,Kolkata,temperature,120,11,26.1,16.7,191.65
31-01-2019,IN,Kolkata,temperature,119,11.1,25.1,17.6,184.17
13-01-2019,IN,Kolkata,temperature,120,11.1,26.1,16.9,194.74
25-01-2019,IN,Kolkata,temperature,120,14.1,28.6,20.7,177.86
12-02-2019,IN,Kolkata,temperature,120,13.4,27.1,19.1,176.36
13-02-2019,IN,Kolkata,temperature,120,14.4,28.3,19.9,189.22
27-02-2019,IN,Kolkata,temperature,120,15.8,27.1,19.7,88.86
03-01-2019,IN,Kolkata,temperature,120,11.1,25.4,16.1,200.75
04-01-2019,IN,Kolkata,temperature,120,11,24.1,16.4,179.06
10-01-2019,IN,Kolkata,temperature,120,12.1,24.2,16.9,132.02
03-03-2019,IN,Kolkata,temperature,120,15,28.1,22.6,164.4
04-03-2019,IN,Kolkata,temperature,120,19.9,28.1,23.4,58.02
16-03-2019,IN,Kolkata,temperature,106,20.1,33.6,26.2,110.73
24-03-2019,IN,Kolkata,temperature,96,20.5,34.1,25.9,161.41
30-03-2019,IN,Kolkata,temperature,120,24.5,34.1,27.9,76.46
17-01-2019,IN,Kolkata,temperature,120,10,25.1,16.1,210.22
26-02-2019,IN,Kolkata,temperature,117,18.3,24.1,20.2,17.25
28-02-2019,IN,Kolkata,temperature,120,17.3,23.2,19.8,26.1
24-02-2019,IN,Kolkata,temperature,120,20.1,32.1,25.1,90.6
25-02-2019,IN,Kolkata,temperature,120,15.6,24.5,20.6,65.01
18-03-2019,IN,Kolkata,temperature,120,19.3,31.1,23.9,122.42
06-03-2019,IN,Kolkata,temperature,118,19.5,29.1,23.2,68.61
25-03-2019,IN,Kolkata,temperature,96,19.9,36.1,27.6,225.16
31-03-2019,IN,Kolkata,temperature,115,25.2,34.1,28.4,61.64
12-01-2019,IN,Kolkata,temperature,120,11.4,25.1,16.7,182.98
21-02-2019,IN,Kolkata,temperature,120,18.6,33.1,24.1,175.27
22-02-2019,IN,Kolkata,temperature,120,20.1,35.1,25.2,172.62
09-03-2019,IN,Kolkata,temperature,96,19,31.6,24.8,152.62
11-03-2019,IN,Kolkata,temperature,120,23.4,32.4,27,71.06
07-01-2019,IN,Kolkata,temperature,120,11.1,27.1,17.7,234.99
07-02-2019,IN,Kolkata,temperature,120,15.1,30,22.8,198.23
14-02-2019,IN,Kolkata,temperature,120,14.6,30.1,22,243.92
23-05-2019,IN,Kolkata,temperature,120,25,35.1,30.1,80.31
25-05-2019,IN,Kolkata,temperature,120,21.1,33.1,28.5,100.81
31-05-2019,IN,Kolkata,temperature,96,24.1,36.1,30.1,85.84
11-06-2019,IN,Kolkata,temperature,120,28.4,37.1,31.1,68.82
24-04-2019,IN,Kolkata,temperature,120,25.5,36.5,30.1,115.48
09-05-2019,IN,Kolkata,temperature,112,28,39.1,31,123.45
19-05-2019,IN,Kolkata,temperature,120,26.6,38.1,30.1,78.16
14-05-2019,IN,Kolkata,temperature,120,21,35,27.5,161.65
16-05-2019,IN,Kolkata,temperature,120,26,37.1,30.1,99.32
15-06-2019,IN,Kolkata,temperature,90,28,33.1,30.1,21.09
16-06-2019,IN,Kolkata,temperature,96,28,39.1,30.3,108.06
24-06-2019,IN,Kolkata,temperature,120,27,35.4,30.1,55.61
13-04-2019,IN,Kolkata,temperature,120,24.1,36.1,27.4,140.04
06-05-2019,IN,Kolkata,temperature,120,27.1,40.1,30.3,169.35
13-05-2019,IN,Kolkata,temperature,96,21,36.1,30.1,133.4
10-06-2019,IN,Kolkata,temperature,120,28,37.1,31.1,79.09
09-04-2019,IN,Kolkata,temperature,120,19.5,34.1,25.6,165.83
21-04-2019,IN,Kolkata,temperature,120,20.7,37.1,28,229.18
29-04-2019,IN,Kolkata,temperature,120,26.9,38.1,30.1,77.85
12-05-2019,IN,Kolkata,temperature,96,28.9,36.1,30.8,54.51
24-05-2019,IN,Kolkata,temperature,120,27.8,37.1,31,61.63
18-06-2019,IN,Kolkata,temperature,120,25.4,35.1,29.8,60.36
28-06-2019,IN,Kolkata,temperature,120,28.3,32,29.8,8.71
01-04-2019,IN,Kolkata,temperature,120,22.8,32.1,27.4,54.55
04-04-2019,IN,Kolkata,temperature,118,25,34.1,28,45.21
04-05-2019,IN,Kolkata,temperature,104,23.2,28.1,25.5,21.28
17-05-2019,IN,Kolkata,temperature,120,28,37.1,31.1,84.79
06-04-2019,IN,Kolkata,temperature,120,19,34.1,25.1,233.37
01-05-2019,IN,Kolkata,temperature,96,27.5,36.1,30.2,70.06
07-05-2019,IN,Kolkata,temperature,120,27,39.1,30.2,147.01
06-06-2019,IN,Kolkata,temperature,120,25,33.1,28.2,52.09
14-06-2019,IN,Kolkata,temperature,115,26.7,38.8,32,136.19
02-04-2019,IN,Kolkata,temperature,120,24.7,34.1,28.1,69.72
26-04-2019,IN,Kolkata,temperature,114,24,36.1,28.5,107.97
26-05-2019,IN,Kolkata,temperature,105,24.1,36.1,30,139.25
30-05-2019,IN,Kolkata,temperature,96,25.1,36.1,30.2,71.81
21-06-2019,IN,Kolkata,temperature,120,27,32.1,28.6,16.43
15-04-2019,IN,Kolkata,temperature,120,25.6,37.1,29,101.28
20-04-2019,IN,Kolkata,temperature,120,22.7,37.1,28.5,187.52
05-05-2019,IN,Kolkata,temperature,120,23.7,37.1,29,166.72
04-06-2019,IN,Kolkata,temperature,120,27.1,35.1,30.1,47.72
25-06-2019,IN,Kolkata,temperature,120,28.3,37.1,30.6,63.83
26-06-2019,IN,Kolkata,temperature,120,28.4,36.1,30.9,49.67
27-06-2019,IN,Kolkata,temperature,120,28.6,35,30.5,41.14
28-04-2019,IN,Kolkata,temperature,120,27.4,38.1,30.1,99.97
18-05-2019,IN,Kolkata,temperature,120,29,37.1,31,70.41
28-05-2019,IN,Kolkata,temperature,96,27.1,37.5,30.6,94.17
11-05-2019,IN,Kolkata,temperature,96,28.7,37.1,30.1,65.75
08-06-2019,IN,Kolkata,temperature,120,26,35.5,30,68.83
12-06-2019,IN,Kolkata,temperature,120,22.9,37.1,31.5,98.67
17-06-2019,IN,Kolkata,temperature,120,28,38.1,31.3,58.32
19-06-2019,IN,Kolkata,temperature,120,24.8,37.1,29.1,144.15
08-04-2019,IN,Kolkata,temperature,119,23.8,32.1,27.1,51.57
18-04-2019,IN,Kolkata,temperature,119,22.8,35.1,29.2,118.25
